User Stories,Tasks,Dependency,Story Points,1,2,3,4,5
1,1,,2,sherry:2,,,,
1,2,T1,2,,sean:2,,,
1,3,,2,,,sean:2,,
1,4,T3,2,,,,sherry:2,
1,5,,2,anthony:2,,,,
1,6,T5,2,,anthony:2,,,
1,7,T5,2,,andrew:2,,,
1,8,T5,2,,,andrew:2,,
1,9,T1-8,4,,,,,eric:4
