User Storie,Tasks,Dependency,Story Points,1,2,3,4,5
1,9,T1-8,4,,,,eric:4,
2,10,,4,,andrew:4,,,
2,11,,4,,,sherry:2,sherry:2,
2,12,T11,4,,,,,anthony:4
2,13,T11,4,,,,,
