User Storie,Tasks,Dependency,Story Points,1,2,3,4,5
2,13,,3,,,sean:3,,
2,14,,6,,,sherry:2,sherry:2,sherry:2
2,15,,4,,,anthony:2,anthony:2,
2,16,,1,,,eric:1,,
2,17,"T13,15",2,,,,,eric:2
3,18,,3,,,,andrew:3,
3,19,,3,,,sean:3,,
3,20,,2,,,,andrew:2,
3,21,,2,,,,,andrew:2
